end_date,营收得分,利润得分,费用得分,周转得分,现金得分,净资产得分,总资产得分,市净率得分,市盈率得分,总分,code,name
20170630,0,0,0.0,0,0,2,0,10,0,12.0,000001.SZ,平安银行
20170930,0,0,0.0,0,0,2,0,10,0,12.0,000001.SZ,平安银行
20171231,0,0,0.0,0,0,1,0,10,0,11.0,000001.SZ,平安银行
20180331,0,0,0.0,0,0,2,0,10,0,12.0,000001.SZ,平安银行
20180630,1,0,0.0,0,0,2,0,10,0,13.0,000001.SZ,平安银行
20180930,4,0,0.0,0,5,2,0,10,0,21.0,000001.SZ,平安银行
20181231,5,0,0.0,0,0,1,0,10,0,16.0,000001.SZ,平安银行
20190331,10,1,0.0,0,0,2,0,10,0,23.0,000001.SZ,平安银行
20190630,10,3,0.0,0,0,2,0,10,0,25.0,000001.SZ,平安银行
20190930,10,3,0.0,0,10,2,0,10,7,42.0,000001.SZ,平安银行
20191231,10,1,0.0,0,6,0,0,10,7,34.0,000001.SZ,平安银行
20200331,10,2,0.0,0,5,0,0,10,9,36.0,000001.SZ,平安银行
20200630,10,0,0.0,0,0,0,0,10,0,20.0,000001.SZ,平安银行
20200930,8,0,0.0,0,0,0,0,10,10,28.0,000001.SZ,平安银行
20201231,6,0,0.0,0,0,0,0,9,10,25.0,000001.SZ,平安银行
20170630,0,10,0.0,0,0,3,0,6,0,19.0,000002.SZ,万科A
20170930,0,10,0.0,0,0,3,0,6,0,19.0,000002.SZ,万科A
20171231,0,10,3.0,10,10,10,1,6,0,50.0,000002.SZ,万科A
20180331,10,10,10.0,0,10,0,0,6,0,46.0,000002.SZ,万科A
20180630,10,10,3.0,0,10,4,0,6,0,43.0,000002.SZ,万科A
20180930,10,10,1.0,10,0,4,0,6,0,41.0,000002.SZ,万科A
20181231,10,10,5.0,10,0,10,1,6,0,52.0,000002.SZ,万科A
20190331,10,10,9.0,0,0,0,0,6,0,35.0,000002.SZ,万科A
20190630,10,10,3.0,0,0,5,0,6,0,34.0,000002.SZ,万科A
20190930,10,10,3.0,10,0,5,0,8,10,56.0,000002.SZ,万科A
20191231,10,2,3.0,10,0,10,0,7,10,52.0,000002.SZ,万科A
20200331,0,0,10.0,0,0,0,0,9,10,29.0,000002.SZ,万科A
20200630,0,0,3.0,0,10,3,0,9,8,33.0,000002.SZ,万科A
20200930,3,0,1.0,10,10,4,0,8,6,42.0,000002.SZ,万科A
20201231,9,0,3.0,10,10,10,0,8,3,53.0,000002.SZ,万科A
20170630,0,0,0.0,0,0,0,0,0,0,0.0,000004.SZ,国华网安
20170930,0,0,0.0,0,0,0,0,0,0,0.0,000004.SZ,国华网安
20171231,0,0,10.0,10,0,0,0,0,0,20.0,000004.SZ,国华网安
20180331,10,10,10.0,0,10,0,0,0,0,40.0,000004.SZ,国华网安
20180630,10,10,10.0,0,10,0,0,0,0,40.0,000004.SZ,国华网安
20180930,10,0,10.0,10,10,0,0,0,0,40.0,000004.SZ,国华网安
20181231,10,0,3.0,0,10,0,0,0,0,23.0,000004.SZ,国华网安
20190331,10,10,0.0,0,10,9,10,0,0,49.0,000004.SZ,国华网安
20190630,0,10,10.0,0,10,0,0,0,0,30.0,000004.SZ,国华网安
20190930,0,0,10.0,0,2,0,0,0,0,12.0,000004.SZ,国华网安
20191231,0,10,10.0,0,10,0,0,0,0,30.0,000004.SZ,国华网安
20200331,0,0,0.0,0,10,0,0,3,0,13.0,000004.SZ,国华网安
20200630,0,0,0.0,0,0,0,0,4,0,4.0,000004.SZ,国华网安
20200930,10,10,0.0,0,0,0,0,6,0,26.0,000004.SZ,国华网安
20170630,2,0,0.0,0,0,0,0,2,0,4.0,000005.SZ,世纪星源
20170930,0,0,0.0,0,0,0,0,2,0,2.0,000005.SZ,世纪星源
20171231,5,0,5.0,10,10,0,0,2,0,32.0,000005.SZ,世纪星源
20180331,10,10,1.0,0,0,0,0,2,0,23.0,000005.SZ,世纪星源
20180630,10,10,9.0,0,0,0,0,2,0,31.0,000005.SZ,世纪星源
20180930,10,10,5.0,10,0,0,0,2,0,37.0,000005.SZ,世纪星源
20181231,0,10,5.0,10,0,1,4,2,0,32.0,000005.SZ,世纪星源
20190331,0,0,10.0,0,0,0,0,2,0,12.0,000005.SZ,世纪星源
20190630,10,10,0.0,10,0,0,3,2,0,35.0,000005.SZ,世纪星源
