,end_date,营收得分,利润得分,费用得分,周转得分,现金得分,净资产得分,总资产得分,市净率得分,市盈率得分,总分,code,name
3447,20201231,10,10,3.0,10,10,8,10,9,10,80.0,000690.SZ,宝新能源
41306,20201231,8,10,3.0,10,10,10,10,9,10,80.0,600720.SH,祁连山
29708,20201231,10,10,10.0,10,7,10,10,2,10,79.0,300658.SZ,延江股份
5948,20201231,10,10,3.0,10,10,10,10,6,10,79.0,000951.SZ,中国重汽
15098,20201231,10,10,10.0,10,10,4,10,4,10,78.0,002603.SZ,以岭药业
52143,20201231,10,10,5.0,10,10,7,10,6,10,78.0,603686.SH,龙马环卫
10230,20201231,10,10,5.0,10,10,7,10,5,10,77.0,002258.SZ,利尔化学
27267,20201231,10,10,7.0,10,10,10,10,0,10,77.0,300482.SZ,万孚生物
33354,20201231,10,10,5.0,10,10,2,10,10,10,77.0,600051.SH,宁波联合
18377,20201231,10,10,7.0,10,10,10,10,0,9,76.0,002847.SZ,盐津铺子
5674,20201231,10,10,5.0,10,10,7,7,7,10,76.0,000921.SZ,海信家电
14574,20201231,10,10,5.0,10,2,10,10,9,10,76.0,002567.SZ,唐人神
20387,20201231,10,10,7.0,10,10,5,10,6,7,75.0,003020.SZ,立方制药
17891,20201231,10,10,5.0,10,10,10,10,0,10,75.0,002810.SZ,山东赫达
11762,20201231,10,10,3.0,10,10,6,9,6,10,74.0,002367.SZ,康力电梯
54075,20201231,10,5,5.0,10,8,10,10,6,10,74.0,603950.SH,长源东谷
36969,20201231,10,10,3.0,10,10,10,10,1,10,74.0,600346.SH,恒力石化
18092,20201231,10,10,5.0,10,10,3,10,6,10,74.0,002825.SZ,纳尔股份
6234,20201231,10,10,5.0,10,10,3,10,6,10,74.0,000975.SZ,银泰黄金
23963,20201231,10,10,3.0,10,10,10,10,1,10,74.0,300246.SZ,宝莱特
56912,20201231,10,10,9.0,10,4,10,10,0,10,73.0,688399.SH,硕世生物
48629,20201231,10,10,5.0,10,10,10,10,0,8,73.0,603129.SH,春风动力
46708,20201231,10,10,7.0,10,10,10,10,0,6,73.0,601865.SH,福莱特
18262,20201231,10,10,3.0,10,10,10,10,0,10,73.0,002838.SZ,道恩股份
53002,20201231,10,10,7.0,10,0,9,10,7,10,73.0,603810.SH,丰山集团
