grossprofit_margin,roe,roa,longdebt_to_workingcapital,q_sales_yoy,q_op_yoy,equity_yoy,turnover_rate,bp,ep,sp,company_code
18.100632,0.90675217,1.8848931,0.57700926,6.6513953,-53.456924,4.554793,1.511274,0.31075743,0.023237351,0.48365957,002119.csv
53.37365,11.022848,10.530272,0.02699102,18.29227,24.808235,12.554452,0.91245097,0.087508164,0.019083185,0.048184663,002690.csv
17.349272,5.255134,4.169516,0.11594139,43.10971,895.6503,16.674807,5.4456067,0.31987244,0.00435119,0.41664183,300221.csv
40.58949,9.615835,6.087455,0.5309618,13.721315,31.408722,15.900151,1.5010037,0.75503904,0.11369075,0.69222504,603458.csv
18.604742,2.328728,1.831847,0.24215491,13.801826,-2235.891,-2.2901607,1.092116,0.2841654,0.027622411,0.15659174,002476.csv
23.16416,2.0821702,1.5187813,0.15407382,20.553331,99.12066,0.049315635,5.492203,0.29450557,0.0107531445,0.2190322,002703.csv
34.067398,8.262899,6.767071,0.56849,60.77501,106.88426,35.20261,0.632655,0.25928277,0.028587194,0.26398847,300441.csv
16.311453,2.312328,2.270487,0.95601714,40.640602,60.04213,17.822578,2.4560099,0.44787705,0.018095423,0.7330889,600552.csv
37.14543,-1.6268321,0.5977187,89.59978,0.85151696,-185.7596,4.0469346,1.0394496,0.6557038,0.024325235,1.4011583,000597.csv
11.030924,0.6819722,1.0808372,0.61979693,15.109359,87.80626,1.8019762,0.8208718,1.195475,0.020356296,1.4932959,601718.csv
14.855618,4.337935,2.9616303,0.036329757,39.72454,54.47989,7.4992375,1.051192,1.0588036,0.05840598,1.5165629,002620.csv
27.4958,11.08065,7.136584,0.45532113,33.687702,56.399857,40.70069,1.5393367,0.11761685,0.014673762,0.1755665,603345.csv
28.727474,0.96982163,0.36816755,0.83030385,13.164089,15.094373,18.427752,1.4639151,0.562066,0.11185932,1.0857809,000002.csv
17.93554,-7.7350593,-1.7453697,7.5262966,-11.790538,-20.432003,-25.535336,8.322986,0.14157729,0.006574745,0.26815206,002813.csv
45.132473,16.172585,11.6930485,0.15746757,43.760048,41.379707,22.991535,0.4298976,0.12237108,0.0322632,0.14140564,002415.csv
8.811331,-2.2193334,-0.40756795,24.400253,23.450592,-129.09799,-19.300842,0.8423154,0.5645154,0.003622288,0.53342235,000678.csv
25.616436,3.0577161,2.0585299,0.07369934,5.2695465,62.50516,9.994778,6.505805,0.20678167,0.01967742,0.28629246,300514.csv
36.642563,8.185286,5.1248503,0.6105742,29.705872,7.444137,8.983298,1.4286896,0.48649025,0.042637285,0.39310592,002452.csv
24.086306,0.9994135,1.256323,0.40918842,5.8226852,68.63002,13.082108,2.4187005,0.5487772,0.040073134,0.39091069,603166.csv
14.484375,-5.602,-1.1881776,0.14242113,4.1891036,-74.94971,1.7530657,0.34559023,0.49169356,0.02191245,1.0072302,002781.csv
23.25607,2.410381,2.485823,0.071554996,-4.142435,-2.4527278,2.1223865,0.6208991,0.52014285,0.05897026,1.6162338,600723.csv
40.609432,4.0000114,2.5557692,0.058098465,29.23685,21.378485,6.117015,1.3951905,0.3047938,0.029150037,0.16568933,300271.csv
30.734701,4.3830085,2.6657922,0.0047539077,30.565971,16.77606,8.830146,0.3103617,0.2737254,0.025964977,0.3599026,603918.csv
34.620228,7.8379154,5.379232,0.023994759,42.57518,58.531944,27.259947,1.7742226,0.17146952,0.02177706,0.07986288,300316.csv
60.66566,7.279348,5.7925577,0.1780292,12.599061,-5.4069366,6.6839066,1.983776,0.719046,0.06937706,0.7240549,002154.csv
33.668556,7.868054,7.160907,0.6966187,31.97191,82.69764,32.477432,2.1133208,0.22254387,0.018650701,0.112298906,300636.csv
58.192432,14.110033,12.180167,0.072392054,32.10201,41.29908,33.994755,2.9423947,0.14772068,0.013239619,0.06420983,002214.csv
18.45697,3.4684787,3.5517733,0.41922522,23.843014,298.4219,12.2880745,2.0063317,0.7160572,0.029399937,0.7483664,002787.csv
19.796516,6.9763207,4.9687543,3.5839534,27.70542,434.86954,88.82695,1.1055084,0.38933647,0.02347904,0.32678068,002579.csv
66.22654,7.847104,8.437886,0.055071246,12.628017,107.03083,3.3048542,1.0027958,0.5937035,0.050105076,0.7412667,002763.csv
22.010944,-10.90436,-3.0935662,0.069916315,34.134216,-6.3299,17.510208,3.4352353,0.9699549,0.01642255,0.7402729,002740.csv
64.1961,18.518063,16.69143,0.21998352,19.539553,-79.45369,18.409811,1.9206233,0.20022047,0.037554312,0.14150918,300146.csv
34.995686,2.9099033,2.815996,22.133049,11.903329,4.2924724,5.8681707,0.5794534,1.0768334,0.08685536,0.17336322,001965.csv
